ID,label
ur50d7,Ayam Goreng
wjlt7p,Bakso
qvhmed,Rawon
jyadxi,Ayam Bakar
cl44xn,Ayam Bakar
9zbid0,Nasi Goreng
kcal60,Bakso
tccnln,Nasi Goreng
qoodju,Ayam Goreng
7xo2s9,Soto
lc6t8c,Soto
0jw2ht,Soto
smpcp8,Nasi Goreng
2gkvxq,Nasi Goreng
0p5017,Soto
egwn1m,Rawon
ek8bc5,Nasi Goreng
pwmavb,Soto
x4tqp6,Sate Madura
ljwlzv,Ayam Goreng
avw9wf,Rendang
l7zljw,Rawon
obevyk,Pempek
5bezos,Ayam Bakar
4xa97b,Nasi Goreng
bgn885,Rendang
boxwzk,Soto
h04xef,Rawon
nzyl10,Bakso
9kcihl,Gado Gado
0tzc38,Ayam Pop
5xq3c0,Sate Madura
i7m1iw,Ayam Bakar
073u7f,Sate Madura
dumw9q,Kotak Putih
4cly0r,Ayam Betutu
2fjfpt,Ayam Pop
0i0hf5,Pempek
2cklyo,Rendang
0q79r9,Bakso
unt5zf,Coto Makassar
bizwb6,Ayam Pop
ysb1qx,Rendang
vasme9,Gudeg
ezws7u,Ayam Betutu
lc1frs,Ayam Bakar
qpdr9d,Rawon
t3fjnn,Gudeg
xu5n8a,Pempek
798kz8,Kotak Putih
gtukex,Sate Padang
eugt6l,Sate Madura
e9szec,Ayam Pop
axniw7,Bakso
ieu19y,Kotak Putih
zkxdrp,Rendang
fhswdc,Bakso
jkvcpt,Nasi Goreng
5koy6m,Rendang
x8zdzf,Ayam Betutu
21xjlx,Bakso
89kb7n,Ayam Bakar
jko637,Ayam Betutu
3v2l36,Ayam Bakar
vk6x22,Ayam Goreng
b9q00q,Sate Padang
qe7wpb,Rendang
ufxvv9,Sate Padang
u57jss,Ayam Pop
eczyph,Gado Gado
ghqr4c,Gado Gado
yuuc7f,Ayam Betutu
odz928,Ayam Pop
p8b3lm,Soto
65nifo,Pempek
gvlcxh,Ayam Goreng
yoxeuy,Pempek
bmj809,Coto Makassar
rh24q2,Sate Madura
42kg3d,Gado Gado
0x2t1e,Sate Madura
xgsf3n,Sate Madura
wcyzmw,Pempek
blxehh,Gudeg
4x0wjg,Soto
sqdyp3,Ayam Goreng
hq6p72,Ayam Betutu
ylc0hz,Ayam Pop
axfrj9,Coto Makassar
h0icyc,Pempek
t5qax1,Pempek
gdl2m4,Ayam Bakar
tshgb1,Rendang
kkkjec,Ayam Bakar
541ail,Ayam Pop
derazq,Ayam Goreng
8v0433,Ayam Pop
0rvhyl,Soto
9qua46,Coto Makassar
dqzrfh,Bakso
xk1s0i,Bakso
kd6fip,Sate Madura
l6tabn,Nasi Goreng
h50n0h,Gudeg
e1ie7a,Rawon
3o68jo,Sate Madura
4427yo,Nasi Goreng
bdjzqt,Ayam Bakar
vyu4s1,Gudeg
83smr3,Ayam Pop
eez927,Kotak Putih
4u5m2l,Nasi Goreng
b95ka6,Kotak Putih
8n50lr,Soto
lra4fw,Ayam Bakar
abcwg2,Ayam Pop
3kuv04,Coto Makassar
rovz0e,Sate Madura
0ulszd,Sate Padang
x6wbt7,Sate Padang
y2rvn6,Kotak Putih
qpsled,Coto Makassar
ztaz8z,Ayam Bakar
x51gvz,Rawon
4k6bsb,Bakso
fy0t59,Rendang
otixar,Gado Gado
x0rsln,Sate Padang
5wbr1n,Coto Makassar
nxkiat,Kotak Putih
l0xz3s,Ayam Bakar
lltrjr,Ayam Betutu
wjsu4p,Rawon
lrud0n,Nasi Goreng
1cweth,Bakso
90k5x1,Bakso
jqyrgx,Sate Madura
7gwsde,Gudeg
e60gxg,Ayam Goreng
5p0yu7,Sate Padang
tyw2rm,Rawon
1m5yje,Bakso
htb2kj,Soto
q04nqz,Pempek
btsqo8,Sate Madura
4hmrfs,Sate Madura
qqrm95,Ayam Goreng
t0bbdy,Rawon
hd8xkc,Sate Padang
4f3d2l,Nasi Goreng
ie3mp6,Bakso
ocwltp,Sate Padang
y6aqag,Sate Madura
6ktpj1,Kotak Putih
j6lbma,Bakso
3a2qvl,Nasi Goreng
dm9b0y,Pempek
0lno3u,Pempek
3amnqa,Sate Madura
vt92ep,Ayam Goreng
d55zjp,Soto
r88q6g,Ayam Betutu
x4o9tp,Rawon
k68gfn,Soto
duzlp7,Coto Makassar
o0kzw4,Bakso
bz8f34,Ayam Bakar
w6y0db,Ayam Betutu
1dqt6p,Rawon
0vnlom,Coto Makassar
h0plhm,Soto
b7ierz,Rendang
mwtr04,Gudeg
wi6m5s,Pempek
o0xm7f,Bakso
9xvfpi,Sate Madura
dd4o6r,Sate Padang
on0575,Bakso
74a2hv,Gado Gado
u7fuzh,Rawon
lpf2ce,Nasi Goreng
v85wyd,Bakso
zorsx3,Nasi Goreng
nxckwv,Ayam Goreng
t6vtgn,Ayam Bakar
zhsjnj,Gado Gado
j6jy3n,Soto
pwis1w,Gado Gado
uaiuyk,Kotak Putih
g3p5t6,Ayam Bakar
gfftty,Soto
gah35p,Sate Padang
5iz2fr,Sate Madura
03d7zh,Ayam Betutu
mhsvvv,Rawon
nb61pd,Ayam Bakar
yhi8ad,Ayam Betutu
f4cpaz,Ayam Goreng
0azrdk,Ayam Pop
yidsh5,Sate Madura
c72bt7,Nasi Goreng
6f6c41,Ayam Betutu
nupyyf,Rendang
a340l8,Sate Madura
pqag0r,Rawon
0g34qt,Sate Madura
3x6chj,Bakso
bovqd5,Soto
rdcq2f,Sate Padang
mktbrm,Kotak Putih
cy3dm3,Ayam Bakar
cup9pk,Sate Padang
olsclo,Coto Makassar
kqk03e,Rawon
mxt96h,Rawon
ztqy3o,Ayam Bakar
widouk,Sate Padang
npae7y,Gudeg
lohlq7,Kotak Putih
y1f8xg,Nasi Goreng
n3wg2g,Rendang
kanelc,Ayam Goreng
7kov23,Coto Makassar
438qta,Ayam Bakar
vlcfwi,Coto Makassar
5azrbh,Nasi Goreng
bl0119,Rendang
oy09tw,Gudeg
qcd0pi,Gado Gado
y3erfh,Ayam Bakar
h0jvma,Soto
hp34q7,Rendang
xv7swe,Sate Padang
i8bwqz,Gado Gado
8cv0pg,Ayam Pop
k8chy0,Kotak Putih
eopy9v,Pempek
g4rc8o,Bakso
yo9ha2,Gado Gado
2ita0z,Ayam Pop
ch23fh,Ayam Pop
i8fw45,Rendang
rtt4pk,Sate Padang
9whfvq,Kotak Putih
hiphcn,Ayam Goreng
j16f4x,Bakso
hrwo4d,Gado Gado
8zaug5,Rawon
z1vra4,Soto
4ilx6z,Soto
azw8fc,Pempek
ouxhrc,Pempek
tdkjoa,Gado Gado
dilbmq,Soto
o5o7hm,Nasi Goreng
b7rfli,Ayam Goreng
95adz3,Bakso
8w0uhq,Ayam Betutu
83x9fz,Sate Madura
zwofq4,Nasi Goreng
ueaivb,Ayam Pop
5bfa37,Nasi Goreng
gqi2ol,Rawon
ml68o4,Ayam Betutu
tqw5kn,Rendang
i4rfxv,Ayam Pop
b0ka5n,Ayam Bakar
wb3enw,Bakso
nywhe8,Sate Padang
zdkruq,Bakso
ymtp6w,Soto
ga7agq,Ayam Bakar
s6shx8,Rawon
yqljs7,Rawon
6ualqk,Rendang
dtv4zp,Kotak Putih
k3rllg,Rendang
6vmx50,Nasi Goreng
6cfo3f,Ayam Bakar
p4zi7h,Gudeg
iyfzx8,Ayam Betutu
jfyqg0,Coto Makassar
t8f6yq,Rendang
79034h,Rendang
k4z9m6,Ayam Bakar
buolhd,Nasi Goreng
o4j9bh,Ayam Goreng
wko2d9,Ayam Goreng
i6kcfk,Coto Makassar
efaxhg,Coto Makassar
giikkb,Coto Makassar
bx0fdi,Rawon
swc8ob,Ayam Bakar
v6mexc,Bakso
j45o4g,Ayam Goreng
z3kury,Sate Madura
k1x0p0,Nasi Goreng
w35myi,Soto
0wse0g,Ayam Goreng
ie80bn,Nasi Goreng
rpe2x4,Pempek
4min3g,Ayam Bakar
a4i0e0,Ayam Pop
ua5azp,Sate Madura
egnuue,Rawon
amgthb,Gudeg
hjvvxj,Kotak Putih
ygkzkl,Sate Padang
ln8hpq,Bakso
dt1gpz,Kotak Putih
h6h05y,Sate Madura
i279o2,Sate Padang
vi3xf6,Gado Gado
oqisx8,Nasi Goreng
w9jrld,Sate Madura
fp1crn,Gudeg
yfpmjp,Rendang
tkjo87,Sate Madura
466mnv,Ayam Pop
7dx3hj,Bakso
3r081t,Sate Padang
dxepvj,Rawon
vc8rzd,Soto
r3famb,Ayam Goreng
ix2oh3,Gado Gado
awwu4x,Ayam Goreng
z07piz,Ayam Goreng
0jbjc1,Gado Gado
1ogsj8,Ayam Betutu
y7rkto,Ayam Pop
erp886,Bakso
knky14,Soto
2vkqj9,Bakso
ugf4gq,Rawon
qcvuth,Rendang
z7m9rv,Ayam Betutu
fi0fmt,Sate Madura
upflic,Ayam Goreng
wlutxj,Kotak Putih
ayowdp,Gudeg
jd53k7,Gado Gado
1ttwp3,Bakso
iv74dj,Sate Padang
n1ataq,Ayam Bakar
g1ln16,Ayam Goreng
4dyzy3,Kotak Putih
1hg4x0,Pempek
x7lih8,Nasi Goreng
2w7wlf,Ayam Pop
c5ism7,Rendang
d9rxqj,Ayam Bakar
ln7q3d,Sate Padang
f9zgtg,Ayam Pop
z0zm3z,Ayam Bakar
fu9lni,Soto
2biaha,Pempek
hbcdow,Rawon
hj05ss,Pempek
2gnqpu,Soto
lv6kxk,Rendang
dj0bwn,Sate Padang
htf6q9,Ayam Pop
60milu,Ayam Pop
o7uqkr,Ayam Goreng
r8hzf8,Pempek
m2a8nw,Ayam Bakar
k5i8k2,Sate Padang
gfnihf,Nasi Goreng
rghud1,Nasi Goreng
irwgdj,Ayam Goreng
rdcds2,Ayam Betutu
ukjyaw,Sate Padang
vky34p,Pempek
woz1wb,Nasi Goreng
vs2xna,Gudeg
6kx63v,Pempek
wu30lq,Pempek
8bfva2,Pempek
qpniuy,Ayam Betutu
rz3x2c,Gado Gado
dpoqua,Ayam Bakar
eas2lv,Coto Makassar
tl3xrw,Rawon
yzdj00,Ayam Goreng
dwlwra,Soto
df93nb,Sate Padang
bfv3nf,Kotak Putih
a3d2in,Ayam Bakar
3l6szo,Soto
tqc2df,Ayam Pop
sy6e7x,Bakso
sfr1ie,Ayam Goreng
gubfdm,Soto
lkueg8,Rendang
ch3ws4,Rawon
li30za,Gudeg
cy00nj,Gudeg
a6ovv0,Rawon
l7o80b,Coto Makassar
rdue5k,Rendang
2zckph,Rendang
w0neux,Gado Gado
dihav7,Gado Gado
dwbvy6,Bakso
